RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,GWAP,
5/14/2026 7:25:00 PM,DIPC,5/14/2026 7:30:00 PM,CLUZ,7465.5435,
5/14/2026 7:25:00 PM,DIPC,5/14/2026 7:30:00 PM,System,11582.7538,
5/14/2026 7:25:00 PM,DIPC,5/14/2026 7:30:00 PM,CLUZ_CVIS,8123.4231,
5/14/2026 8:20:00 PM,DIPC,5/14/2026 8:25:00 PM,CMIN,27390.7045,
5/14/2026 8:20:00 PM,DIPC,5/14/2026 8:25:00 PM,CVIS,11673.3968,
5/14/2026 8:20:00 PM,DIPC,5/14/2026 8:25:00 PM,CLUZ,8967.3740,
5/14/2026 8:20:00 PM,DIPC,5/14/2026 8:25:00 PM,System,12418.9999,
5/14/2026 8:20:00 PM,DIPC,5/14/2026 8:25:00 PM,CLUZ_CVIS,9329.3105,
5/14/2026 8:55:00 PM,DIPC,5/14/2026 9:00:00 PM,CMIN,23705.2975,
5/14/2026 8:55:00 PM,DIPC,5/14/2026 9:00:00 PM,CVIS,7293.7041,
5/14/2026 8:55:00 PM,DIPC,5/14/2026 9:00:00 PM,CLUZ,5920.2335,
5/14/2026 8:55:00 PM,DIPC,5/14/2026 9:00:00 PM,System,9099.2665,
5/14/2026 8:55:00 PM,DIPC,5/14/2026 9:00:00 PM,CLUZ_CVIS,6107.3238,
5/14/2026 9:20:00 PM,DIPC,5/14/2026 9:25:00 PM,CMIN,28717.7774,
5/14/2026 9:20:00 PM,DIPC,5/14/2026 9:25:00 PM,CVIS,9353.4716,
5/14/2026 9:20:00 PM,DIPC,5/14/2026 9:25:00 PM,CLUZ,8161.9877,
5/14/2026 9:20:00 PM,DIPC,5/14/2026 9:25:00 PM,System,11807.8577,
5/14/2026 9:20:00 PM,DIPC,5/14/2026 9:25:00 PM,CLUZ_CVIS,8322.0772,
5/14/2026 11:05:00 PM,DIPC,5/14/2026 11:10:00 PM,CMIN,54000,
5/14/2026 11:05:00 PM,DIPC,5/14/2026 11:10:00 PM,CVIS,54000,
5/14/2026 11:05:00 PM,DIPC,5/14/2026 11:10:00 PM,CLUZ,3957.0152,
5/14/2026 11:05:00 PM,DIPC,5/14/2026 11:10:00 PM,System,17736.1363,
5/14/2026 11:05:00 PM,DIPC,5/14/2026 11:10:00 PM,CLUZ_CVIS,10653.5176,
5/14/2026 4:30:00 PM,DIPC,5/14/2026 4:35:00 PM,CMIN,7423,
5/14/2026 4:30:00 PM,DIPC,5/14/2026 4:35:00 PM,CVIS,7423,
5/14/2026 4:30:00 PM,DIPC,5/14/2026 4:35:00 PM,CLUZ,7070.4394,
5/14/2026 4:30:00 PM,DIPC,5/14/2026 4:35:00 PM,System,7169.4189,
5/14/2026 4:30:00 PM,DIPC,5/14/2026 4:35:00 PM,CLUZ_CVIS,7118.5575,
5/14/2026 10:05:00 PM,DIPC,5/14/2026 10:10:00 PM,CMIN,57000,
5/14/2026 10:05:00 PM,DIPC,5/14/2026 10:10:00 PM,CVIS,57000,
5/14/2026 10:05:00 PM,DIPC,5/14/2026 10:10:00 PM,CLUZ,5108.4090,
5/14/2026 10:05:00 PM,DIPC,5/14/2026 10:10:00 PM,System,19726.4749,
5/14/2026 10:05:00 PM,DIPC,5/14/2026 10:10:00 PM,CLUZ_CVIS,12272.5008,
5/14/2026 9:15:00 PM,DIPC,5/14/2026 9:20:00 PM,CMIN,28846.3375,
5/14/2026 9:15:00 PM,DIPC,5/14/2026 9:20:00 PM,CVIS,11045.2026,
5/14/2026 9:15:00 PM,DIPC,5/14/2026 9:20:00 PM,CLUZ,9725.3331,
5/14/2026 9:15:00 PM,DIPC,5/14/2026 9:20:00 PM,System,13135.1133,
5/14/2026 9:15:00 PM,DIPC,5/14/2026 9:20:00 PM,CLUZ_CVIS,9902.7584,
5/14/2026 12:15:00 AM,DIPC,5/14/2026 12:20:00 AM,CMIN,16748.5330,
5/14/2026 12:15:00 AM,DIPC,5/14/2026 12:20:00 AM,CVIS,30965.9844,
5/14/2026 12:15:00 AM,DIPC,5/14/2026 12:20:00 AM,CLUZ,3550.1511,
5/14/2026 12:15:00 AM,DIPC,5/14/2026 12:20:00 AM,System,8857.5511,
5/14/2026 12:15:00 AM,DIPC,5/14/2026 12:20:00 AM,CLUZ_CVIS,7254.1122,
5/14/2026,DIPC,5/14/2026 12:05:00 AM,CMIN,7423,
5/14/2026,DIPC,5/14/2026 12:05:00 AM,CVIS,7423,
5/14/2026,DIPC,5/14/2026 12:05:00 AM,CLUZ,4223.6774,
5/14/2026,DIPC,5/14/2026 12:05:00 AM,System,5130.7349,
