TIME_INTERVAL,REGION_NAME,RESOURCE_NAME,RESOURCE_TYPE,CLEARED_PRICE,
6/26/2026 11:35:00 AM,VISAYAS,05CEDC_U01,G,4020,
6/26/2026 11:35:00 AM,VISAYAS,05TPC_G02,G,4270,
6/26/2026 11:35:00 AM,VISAYAS,08PEDC_U01,G,4540,
6/26/2026 11:40:00 AM,LUZON,01GAMU_BAT,G,32000,
6/26/2026 11:40:00 AM,LUZON,01MAGAT_BAT,G,32000,
6/26/2026 11:40:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 11:40:00 AM,LUZON,03EERI_G03,G,15000,
6/26/2026 11:40:00 AM,LUZON,03STA-RI_G05,G,8492.80,
6/26/2026 11:40:00 AM,LUZON,03STA-RI_G06,G,8492.80,
6/26/2026 11:45:00 AM,LUZON,03EERI_G02,G,15000,
6/26/2026 11:45:00 AM,LUZON,03EERI_G03,G,15000,
