TRADING_DAY_ID,TP_NAME,RESOURCE_NAME,PRODUCT_TYPE,MAX_CAPACITY,
20260714,CENPRI,06CENPRI_U03,DR,4.40,
20260714,CENPRI,06CENPRI_U04,DR,6.60,
20260714,CENPRI,06CENPRI_U05,DR,6.60,
20260714,SPESCL,06KABAN_BAT,RU,22,
20260714,SPESCL,06KABAN_BAT,RD,22,
20260714,GCGI,06PAL1A_U01,RD,12.50,
20260714,GCGI,06PAL1A_U01,RU,12.50,
20260714,GCGI,06PAL1A_U02,RU,12,
20260714,GCGI,06PAL1A_U02,RD,12,
20260714,GCGI,06PAL1A_U03,RU,12.50,
20260714,GCGI,06PAL1A_U03,RD,12.50,
20260714,GCGI,06PAL2A_U01,RD,10,
20260714,GCGI,06PAL2A_U01,FR,10,
20260714,GCGI,06PAL2A_U01,RU,10,
20260714,GCGI,06PAL2A_U02,RD,10,
20260714,GCGI,06PAL2A_U02,RU,10,
20260714,GCGI,06PAL2A_U02,FR,10,
20260714,GCGI,06PAL2A_U03,RU,10,
20260714,GCGI,06PAL2A_U03,RD,10,
20260714,EDC,06SONEG_BAT,FR,10,
20260714,EDC,06SONEG_BAT,RU,10,
20260714,EDC,06SONEG_BAT,RD,10,
20260714,SIPC,07BDPP_U01,DR,4,
20260714,SIPC,07BDPP_U02,DR,4,
20260714,SIPC,07BDPP_U03,DR,4.20,
20260714,SIPC,07BDPP_U04,DR,4,
20260714,MPC,07BIDPP_G01,DR,30,
20260714,SPCPOWER,07TPLPB4_U01,DR,7,
20260714,SPCPOWER,07TPLPB4_U02,DR,7,
20260714,SPCPOWER,07TPLPB4_U03,DR,7,
20260714,SPCPOWER,07TPLPB4_U04,DR,7,
20260714,UPSI,07UBAY_BAT,FR,19.50,
20260714,PPC,08NABASDPP_U01,DR,3,
20260714,PPC,08NABASDPP_U02,DR,3.40,
20260714,SIPC,08PDPP1_U03,DR,5,
20260714,SIPC,08PDPP1_U05,DR,5,
20260714,SIPC,08PDPP3_C,DR,12,
20260714,SIPC,08PDPP3_E,DR,12,
20260714,SIPC,08PDPP3_G,DR,13,
20260714,SIPC,08PDPP3_H,DR,13,
20260714,PEDC,08PEDC_U01,RD,14,
20260714,PEDC,08PEDC_U01,FR,13.50,
20260714,PEDC,08PEDC_U01,RU,14,
20260714,PEDC,08PEDC_U02,RU,14,
20260714,PEDC,08PEDC_U02,FR,13.50,
20260714,PEDC,08PEDC_U02,RD,14,
20260714,PEDC,08PEDC_U03,RD,30,
20260714,PEDC,08PEDC_U03,RU,30,
20260714,PEDC,08PEDC_U03,FR,29.60,
20260714,MPBI,08STBPB1_U01,DR,6,
20260714,MPBI,08STBPB1_U02,DR,5.50,
20260714,MPBI,08STBPB1_U03,DR,5.50,
20260714,MPBI,08STBPB1_U04,DR,6,
20260714,KINGENE,09JIMDSL_U01,DR,7.50,
20260714,KINGENE,09JIMDSL_U02,DR,8,
20260714,KINGENE,09PANABNK_U01,DR,7.50,
20260714,KINGENE,09PANABNK_U02,DR,7.50,
20260714,FPEI,09SANGALI_BAT,FR,20,
20260714,FPEI,09SANGALI_BAT,RU,20,
20260714,FPEI,09SANGALI_BAT,RD,20,
20260714,WMPC,09WMPC_U01,DR,10,
20260714,WMPC,09WMPC_U02,DR,10,
20260714,WMPC,09WMPC_U03,DR,10,
20260714,WMPC,09WMPC_U04,DR,10,
20260714,WMPC,09WMPC_U05,DR,10,
20260714,WMPC,09WMPC_U06,DR,10,
20260714,WMPC,09WMPC_U07,DR,10,
20260714,WMPC,09WMPC_U08,DR,10,
20260714,WMPC,09WMPC_U09,DR,10,
20260714,WMPC,09WMPC_U10,DR,10,
20260714,PSALMGMIN,10AGUS1_U01,FR,23,
20260714,PSALMGMIN,10AGUS1_U01,RU,23,
20260714,PSALMGMIN,10AGUS1_U01,RD,23,
20260714,PSALMGMIN,10AGUS1_U02,RU,23,
20260714,PSALMGMIN,10AGUS1_U02,FR,23,
20260714,PSALMGMIN,10AGUS1_U02,RD,23,
20260714,PSALMGMIN,10AGUS2_U01,FR,30,
20260714,PSALMGMIN,10AGUS2_U01,DR,20,
20260714,PSALMGMIN,10AGUS2_U01,RU,12,
20260714,PSALMGMIN,10AGUS2_U01,RD,12,
20260714,PSALMGMIN,10AGUS2_U02,FR,30,
20260714,PSALMGMIN,10AGUS2_U02,DR,14,
20260714,PSALMGMIN,10AGUS2_U02,RU,12,
20260714,PSALMGMIN,10AGUS2_U02,RD,12,
20260714,PSALMGMIN,10AGUS2_U03,DR,39,
20260714,PSALMGMIN,10AGUS2_U03,FR,30,
20260714,PSALMGMIN,10AGUS2_U03,RU,12,
20260714,PSALMGMIN,10AGUS2_U03,RD,12,
20260714,PSALMGMIN,10AGUS4_U01,DR,20,
20260714,PSALMGMIN,10AGUS4_U02,DR,52,
20260714,PSALMGMIN,10AGUS4_U03,DR,35,
20260714,PSALMGMIN,10AGUS5_U01,FR,13.80,
20260714,PSALMGMIN,10AGUS5_U01,DR,24,
20260714,PSALMGMIN,10AGUS5_U02,FR,15.90,
20260714,PSALMGMIN,10AGUS5_U02,DR,26,
20260714,PSALMGMIN,10AGUS7_U01,FR,15,
20260714,GNPKLCO,10GNPK_U01,FR,30,
20260714,GNPKLCO,10GNPK_U02,FR,30,
20260714,GNPKLCO,10GNPK_U03,FR,30,
20260714,GNPKLCO,10GNPK_U04,FR,30,
20260714,MPC,10IDP1_U01,DR,4.90,
20260714,MPC,10IDP1_U02,DR,4.90,
20260714,MPC,10IDP1_U03,DR,4.90,
20260714,MPC,10IDP1_U04,DR,4.90,
20260714,MPC,10IDP1_U05,DR,4.90,
20260714,MPC,10IDP1_U06,DR,4.90,
20260714,MPC,10IDP1_U07,DR,4.90,
20260714,MPC,10IDP1_U08,DR,4.90,
20260714,MPC,10IDP1_U09,DR,4.90,
20260714,MPC,10IDP1_U10,DR,4.90,
20260714,MPC,10IDP1_U11,DR,4.90,
20260714,MPC,10IDP1_U12,DR,4.90,
20260714,MPC,10IDP2_U01,DR,5.90,
20260714,MPC,10IDP2_U02,DR,5.70,
20260714,MPC,10IDP2_U03,DR,5.90,
20260714,MPC,10IDP2_U04,DR,5.60,
20260714,MPC,10IDP2_U05,DR,5.70,
20260714,MPC,10IDP2_U06,DR,5.90,
20260714,MPC,10IDP2_U07,DR,5.70,
20260714,UPSI,11JASA_BAT,RD,19.90,
20260714,UPSI,11JASA_BAT,RU,19.90,
20260714,UPSI,11JASA_BAT,FR,18.80,
20260714,PSALMGMIN,11PULA4_U01,RU,10,
20260714,PSALMGMIN,11PULA4_U01,RD,10,
20260714,PSALMGMIN,11PULA4_U01,DR,68,
20260714,PSALMGMIN,11PULA4_U01,FR,10,
20260714,PSALMGMIN,11PULA4_U02,FR,10,
20260714,PSALMGMIN,11PULA4_U02,RD,10,
20260714,PSALMGMIN,11PULA4_U02,RU,10,
20260714,PSALMGMIN,11PULA4_U02,DR,74,
20260714,PSALMGMIN,11PULA4_U03,FR,10,
20260714,PSALMGMIN,11PULA4_U03,RD,10,
20260714,PSALMGMIN,11PULA4_U03,RU,10,
20260714,PSALMGMIN,11PULA4_U03,DR,72,
20260714,UPSI,11VILLA_BAT,RD,19.80,
20260714,UPSI,11VILLA_BAT,RU,19.80,
20260714,UPSI,11VILLA_BAT,FR,18.60,
20260714,KINGENE,12KEGTAN_G01,DR,7.50,
20260714,TMI,12TM2_U01,FR,30,
20260714,TMI,12TM2_U01,RD,40,
