RUN_TIME,MKT_TYPE,TIME_INTERVAL,REGION_NAME,RESOURCE_NAME,RESOURCE_TYPE,COMMODITY_TYPE,MARGINAL_PRICE,
5/9/2026 3:00:00 AM,RTD,5/9/2026 3:05:00 AM,CMIN,11FDC_U03,G,En,3201.70,
5/9/2026 3:05:00 AM,RTD,5/9/2026 3:10:00 AM,CVIS,08PEDC_U01,G,En,4389.9997,
5/9/2026 3:05:00 AM,RTD,5/9/2026 3:10:00 AM,CVIS,08PEDC_U02,G,En,4389.9997,
5/9/2026 3:05:00 AM,RTD,5/9/2026 3:10:00 AM,CMIN,11FDC_U01,G,En,3201.70,
5/9/2026 3:05:00 AM,RTD,5/9/2026 3:10:00 AM,CMIN,11FDC_U02,G,En,3201.70,
5/9/2026 3:05:00 AM,RTD,5/9/2026 3:10:00 AM,CMIN,11FDC_U03,G,En,3201.70,
5/9/2026 3:10:00 AM,RTD,5/9/2026 3:15:00 AM,CVIS,05CEDC_U01,G,En,3920,
5/9/2026 3:10:00 AM,RTD,5/9/2026 3:15:00 AM,CVIS,05CEDC_U02,G,En,3920,
5/9/2026 3:10:00 AM,RTD,5/9/2026 3:15:00 AM,CVIS,05CEDC_U03,G,En,3920,
5/9/2026 3:10:00 AM,RTD,5/9/2026 3:15:00 AM,CMIN,10GNPK_U01,G,En,2955.50,
5/9/2026 3:10:00 AM,RTD,5/9/2026 3:15:00 AM,CMIN,10GNPK_U02,G,En,2955.50,
5/9/2026 3:10:00 AM,RTD,5/9/2026 3:15:00 AM,CMIN,10GNPK_U03,G,En,2955.50,
5/9/2026 3:10:00 AM,RTD,5/9/2026 3:15:00 AM,CMIN,10GNPK_U04,G,En,2955.50,
5/9/2026 3:15:00 AM,RTD,5/9/2026 3:20:00 AM,CVIS,05CEDC_U01,G,En,3920,
5/9/2026 3:15:00 AM,RTD,5/9/2026 3:20:00 AM,CVIS,05CEDC_U02,G,En,3920,
5/9/2026 3:15:00 AM,RTD,5/9/2026 3:20:00 AM,CVIS,05CEDC_U03,G,En,3920,
5/9/2026 3:15:00 AM,RTD,5/9/2026 3:20:00 AM,CMIN,11FDC_U01,G,En,3201.70,
5/9/2026 3:15:00 AM,RTD,5/9/2026 3:20:00 AM,CMIN,11FDC_U02,G,En,3201.70,
5/9/2026 3:15:00 AM,RTD,5/9/2026 3:20:00 AM,CMIN,11FDC_U03,G,En,3201.70,
5/9/2026 3:20:00 AM,RTD,5/9/2026 3:25:00 AM,CLUZ,03QPPL_G01,G,En,3232,
5/9/2026 3:20:00 AM,RTD,5/9/2026 3:25:00 AM,CMIN,11FDC_U01,G,En,3201.70,
5/9/2026 3:20:00 AM,RTD,5/9/2026 3:25:00 AM,CMIN,11FDC_U02,G,En,3201.70,
5/9/2026 3:20:00 AM,RTD,5/9/2026 3:25:00 AM,CMIN,11FDC_U03,G,En,3201.70,
5/9/2026 3:25:00 AM,RTD,5/9/2026 3:30:00 AM,CLUZ,03QPPL_G01,G,En,3232,
5/9/2026 3:25:00 AM,RTD,5/9/2026 3:30:00 AM,CMIN,11FDC_U01,G,En,3196.70,
5/9/2026 3:25:00 AM,RTD,5/9/2026 3:30:00 AM,CMIN,11FDC_U02,G,En,3196.70,
5/9/2026 3:25:00 AM,RTD,5/9/2026 3:30:00 AM,CMIN,11FDC_U03,G,En,3196.70,
5/9/2026 3:30:00 AM,RTD,5/9/2026 3:35:00 AM,CMIN,11FDC_U01,G,En,3196.70,
5/9/2026 3:30:00 AM,RTD,5/9/2026 3:35:00 AM,CMIN,11FDC_U02,G,En,3196.70,
5/9/2026 3:30:00 AM,RTD,5/9/2026 3:35:00 AM,CMIN,11FDC_U03,G,En,3196.70,
5/9/2026 3:35:00 AM,RTD,5/9/2026 3:40:00 AM,CVIS,05CEDC_U01,G,En,3920,
5/9/2026 3:35:00 AM,RTD,5/9/2026 3:40:00 AM,CVIS,05CEDC_U02,G,En,3920,
5/9/2026 3:35:00 AM,RTD,5/9/2026 3:40:00 AM,CVIS,05CEDC_U03,G,En,3920,
5/9/2026 3:35:00 AM,RTD,5/9/2026 3:40:00 AM,CMIN,11FDC_U01,G,En,3196.70,
5/9/2026 3:35:00 AM,RTD,5/9/2026 3:40:00 AM,CMIN,11FDC_U02,G,En,3196.70,
5/9/2026 3:35:00 AM,RTD,5/9/2026 3:40:00 AM,CMIN,11FDC_U03,G,En,3196.70,
5/9/2026 3:40:00 AM,RTD,5/9/2026 3:45:00 AM,CLUZ,03QPPL_G01,G,En,3232,
5/9/2026 3:40:00 AM,RTD,5/9/2026 3:45:00 AM,CMIN,11FDC_U01,G,En,3196.70,
5/9/2026 3:40:00 AM,RTD,5/9/2026 3:45:00 AM,CMIN,11FDC_U02,G,En,3196.70,
5/9/2026 3:40:00 AM,RTD,5/9/2026 3:45:00 AM,CMIN,11FDC_U03,G,En,3196.70,
5/9/2026 3:45:00 AM,RTD,5/9/2026 3:50:00 AM,CLUZ,03PAGBIL_G01,G,En,3307.80,
5/9/2026 3:45:00 AM,RTD,5/9/2026 3:50:00 AM,CLUZ,03PAGBIL_G02,G,En,3307.80,
